EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,95.4,51.4,SEA,W,JAX,-19.0,@HOU,-1.0,@IND,-3.0,TEN,-11.0,@ARI,-4.5,@STL,-13.0,TB,-15.5,@ATL,-3.5,MIN,-13.0,BYE,,NO,-6.5,@SF,2.5,@NYG,-9.5,ARI,-8.0,STL,-13.0,0.85695247179933
1.09,90.5,13.9,DEN,W,OAK,-16.0,PHI,-10.5,@DAL,-7.5,JAX,-26.5,@IND,-6.0,WAS,-11.0,BYE,,@SD,-7.0,KC,-7.5,@NE,-1.0,@KC,-5.5,TEN,-13.0,SD,-10.0,@HOU,-10.0,@OAK,-10.0,1.0
0.97,79.5,3.8,SF,L,IND,-10.0,@STL,-3.0,HOU,-4.0,ARI,-10.0,@TEN,-3.5,@JAX,-16.0,BYE,,CAR,-5.5,@NO,3.5,@WAS,-5.5,STL,-7.5,SEA,-2.5,@TB,-4.5,ATL,-14.0,@ARI,3.0,0.67878289041453
0.92,74.6,1.7,NE,W,TB,-7.5,@ATL,2.5,@CIN,-1.0,NO,-1.0,@NYJ,-3.5,MIA,-6.5,PIT,-6.0,BYE,,@CAR,3.0,DEN,1.0,@HOU,-7.0,CLE,-10.0,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.40448766918565
0.91,75.4,5.1,NO,W,ARI,-8.0,MIA,-7.0,@CHI,1.0,@NE,1.0,BYE,,BUF,-10.5,@NYJ,-5.5,DAL,-6.0,SF,-3.5,@ATL,-7.5,@SEA,6.5,CAR,-3.0,@STL,-6.5,@CAR,3.5,TB,-11.0,0.57375447201448
0.83,72.3,16.8,MIN,L,CLE,-7.0,PIT,3.0,BYE,,CAR,-2.5,@NYG,4.0,GB,7.5,@DAL,10.0,WAS,1.0,@SEA,13.0,@GB,5.5,CHI,-1.0,@BAL,6.0,PHI,6.5,@CIN,7.5,DET,1.5,0.029629696691131
0.76,61.7,0.6,PHI,L,KC,-3.5,@DEN,10.5,@NYG,-1.0,@TB,-2.5,DAL,-3.0,NYG,-5.5,@OAK,1.0,@GB,-1.0,WAS,-5.0,BYE,,ARI,-3.5,DET,-2.5,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.37735112047002
0.74,60.6,1.2,DAL,W,STL,-3.5,@SD,-1.0,DEN,7.5,WAS,-5.0,@PHI,3.0,@DET,3.0,MIN,-10.0,@NO,6.0,BYE,,@NYG,2.5,OAK,-9.5,@CHI,2.0,GB,-5.0,@WAS,-3.0,PHI,7.0,0.30590596215118
0.72,58.1,0.2,TEN,W,SD,-3.0,NYJ,-3.5,KC,2.5,@SEA,11.0,SF,3.5,BYE,,@STL,-3.0,JAX,-11.5,IND,2.5,@OAK,-2.5,@IND,3.5,@DEN,13.0,ARI,2.5,@JAX,-4.0,HOU,-7.0,0.29336881133055
0.72,57.8,0.1,MIA,W,ATL,-3.0,@NO,7.0,BAL,-2.5,BYE,,BUF,-6.0,@NE,6.5,CIN,3.0,@TB,-1.0,SD,2.5,CAR,4.5,@NYJ,-1.0,@PIT,3.0,NE,-2.5,@BUF,1.0,NYJ,-7.5,0.17576171795582
0.69,55.6,0.2,NYJ,W,BUF,-2.5,@TEN,3.5,@ATL,10.0,PIT,1.0,NE,3.5,@CIN,6.0,NO,5.5,BYE,,@BUF,-1.0,@BAL,4.0,MIA,1.0,OAK,-3.0,@CAR,10.0,CLE,-2.5,@MIA,7.5,0.053431387757179
0.69,55.9,0.8,GB,L,@CIN,-3.0,BYE,,DET,-10.0,@BAL,-1.0,CLE,-9.5,@MIN,-7.5,CHI,-10.0,PHI,1.0,@NYG,3.5,MIN,-5.5,@DET,6.5,ATL,-3.5,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.45423414701411
0.66,53.8,0.0,BAL,W,HOU,-1.0,@BUF,-3.5,@MIA,2.5,GB,1.0,@PIT,1.0,BYE,,@CLE,-1.0,CIN,-1.0,@CHI,3.0,NYJ,-4.0,PIT,-3.0,MIN,-6.0,@DET,4.5,NE,1.0,@CIN,6.5,0.18449051204953
0.66,53.8,0.9,CHI,W,@PIT,-1.0,@DET,3.0,NO,-1.0,NYG,-9.5,@WAS,-1.0,BYE,,@GB,10.0,DET,1.0,BAL,-3.0,@STL,1.0,@MIN,1.0,DAL,-2.0,@CLE,1.0,@PHI,2.5,GB,3.0,0.13776160482592
0.64,52.0,1.1,NYG,L,@CAR,-1.0,@KC,3.5,PHI,1.0,@CHI,9.5,MIN,-4.0,@PHI,5.5,BYE,,OAK,-7.5,GB,-3.5,DAL,-2.5,@WAS,1.0,@SD,4.0,SEA,9.5,@DET,9.5,WAS,-3.5,0.2058189171459
0.62,50.2,0.2,DET,W,@WAS,-1.0,CHI,-3.0,@GB,10.0,@CLE,-1.0,CIN,-2.5,DAL,-3.0,BYE,,@CHI,-1.0,@PIT,-3.0,TB,-7.5,GB,-6.5,@PHI,2.5,BAL,-4.5,NYG,-9.5,@MIN,-1.5,0.40391262891778
0.61,49.8,0.2,WAS,L,DET,1.0,@OAK,-3.5,BYE,,@DAL,5.0,CHI,1.0,@DEN,11.0,SD,-1.0,@MIN,-1.0,@PHI,5.0,SF,5.5,NYG,-1.0,KC,3.5,@ATL,5.5,DAL,3.0,@NYG,3.5,0.051412983699276
0.6,48.0,0.0,CAR,W,NYG,1.0,BYE,,@ARI,-3.0,@MIN,2.5,STL,-7.5,@TB,-6.5,ATL,-10.0,@SF,5.5,NE,-3.0,@MIA,-4.5,TB,-7.5,@NO,3.0,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.55766779449287
0.57,46.2,0.1,PIT,L,CHI,1.0,@MIN,-3.0,BYE,,@NYJ,-1.0,BAL,-1.0,@OAK,-2.5,@NE,6.0,BUF,-3.0,DET,3.0,@CLE,2.5,@BAL,3.0,MIA,-3.0,CIN,2.0,@GB,-1.0,CLE,-9.5,0.20248454121967
0.57,46.2,0.1,HOU,L,@BAL,1.0,SEA,1.0,@SF,4.0,STL,-9.5,@KC,7.0,BYE,,IND,-1.0,@ARI,3.5,OAK,-10.0,JAX,-10.5,NE,7.0,@JAX,-3.0,@IND,6.0,DEN,10.0,@TEN,7.0,0.28828998533976
0.55,44.1,0.0,CIN,W,GB,3.0,@CLE,-3.5,NE,1.0,@BUF,-6.0,@DET,2.5,NYJ,-6.0,@MIA,-3.0,@BAL,1.0,CLE,-4.5,BYE,,@SD,-2.5,IND,-7.0,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.45610308088944
0.55,44.4,0.5,BUF,L,@NYJ,2.5,BAL,3.5,@CLE,3.5,CIN,6.0,@MIA,6.0,@NO,10.5,KC,4.5,@PIT,3.0,NYJ,1.0,BYE,,ATL,-4.5,@TB,3.0,@JAX,-4.0,MIA,-1.0,@NE,7.5,0.091390020346971
0.52,42.2,0.6,ATL,L,@MIA,3.0,NE,-2.5,NYJ,-10.0,BYE,,TB,-6.5,@ARI,2.5,@CAR,10.0,SEA,3.5,@TB,1.0,NO,7.5,@BUF,4.5,@GB,3.5,WAS,-5.5,@SF,14.0,CAR,4.5,0.23243778046604
0.52,41.9,0.3,SD,L,@TEN,3.0,DAL,1.0,@OAK,-6.0,IND,-1.0,@JAX,-7.5,BYE,,@WAS,1.0,DEN,7.0,@MIA,-2.5,@KC,3.5,CIN,2.5,NYG,-4.0,@DEN,10.0,OAK,-10.0,KC,-10.5,0.36098422572875
0.49,39.4,0.0,STL,L,@DAL,3.5,SF,3.0,JAX,-11.0,@HOU,9.5,@CAR,7.5,SEA,13.0,TEN,3.0,@IND,7.5,BYE,,CHI,-1.0,@SF,7.5,@ARI,4.0,NO,6.5,TB,-3.5,@SEA,13.0,0.14344799695123
0.47,38.3,0.2,KC,W,@PHI,3.5,NYG,-3.5,@TEN,-2.5,OAK,-7.5,HOU,-7.0,CLE,-7.0,@BUF,-4.5,BYE,,@DEN,7.5,SD,-3.5,DEN,5.5,@WAS,-3.5,@OAK,-6.0,IND,-7.5,@SD,10.5,0.51197352585583
0.41,27.7,0.0,CLE,W,@MIN,7.0,CIN,3.5,BUF,-3.5,DET,1.0,@GB,9.5,@KC,7.0,BAL,1.0,BYE,,@CIN,4.5,PIT,-2.5,JAX,-7.5,@NE,10.0,CHI,-1.0,@NYJ,2.5,@PIT,9.5,0.13379291660945
0.32,24.6,0.0,ARI,L,@NO,8.0,@TB,2.5,CAR,3.0,@SF,10.0,SEA,4.5,ATL,-2.5,BYE,,HOU,-3.5,@JAX,-9.5,IND,-3.5,@PHI,3.5,STL,-4.0,@TEN,-2.5,@SEA,8.0,SF,-3.0,0.27054262790815
0.32,25.4,0.0,TB,L,@NE,7.5,ARI,-2.5,BYE,,PHI,2.5,@ATL,6.5,CAR,6.5,@SEA,15.5,MIA,1.0,ATL,-1.0,@DET,7.5,@CAR,7.5,BUF,-3.0,SF,4.5,@STL,3.5,@NO,11.0,0.061411522353834
0.26,20.5,0.0,IND,W,@SF,10.0,@JAX,-9.5,SEA,3.0,@SD,1.0,DEN,6.0,BYE,,@HOU,1.0,STL,-7.5,@TEN,-2.5,@ARI,3.5,TEN,-3.5,@CIN,7.0,HOU,-6.0,@KC,7.5,JAX,-11.0,0.37053033784892
0.14,9.5,0.0,OAK,L,@DEN,16.0,WAS,3.5,SD,6.0,@KC,7.5,BYE,,PIT,2.5,PHI,-1.0,@NYG,7.5,@HOU,10.0,TEN,2.5,@DAL,9.5,@NYJ,3.0,KC,6.0,@SD,10.0,DEN,10.0,0.0
0.14,4.6,0.1,JAX,L,@SEA,19.0,IND,9.5,@STL,11.0,@DEN,26.5,SD,7.5,SF,16.0,BYE,,@TEN,11.5,ARI,9.5,@HOU,10.5,@CLE,7.5,HOU,3.0,BUF,4.0,TEN,4.0,@IND,11.0,0.0
